"Source","Target","Type","Id","Label","timeset","Weight"
0,7,"Directed",1,"Information BarHotel / condo / apartment style hotel info","",1
0,9,"Directed",2,"Information BarTour list","",1
0,10,"Directed",3,"Information BarRestaurant Information","",1
0,27,"Directed",4,"Information BarKara OK is a type of site information","",1
0,33,"Directed",5,"Information BarBallroom information","",1
0,40,"Directed",6,"Information BarSteam bath and massage parlor Information","",1
0,51,"Directed",7,"Information BarThe site is a health club type information","",1
0,104,"Directed",8,"Information BarTravel information","",1
0,113,"Directed",9,"Information BarEvents Festivals table","",1
0,142,"Directed",10,"Information BarTransferist list","",1
0,163,"Directed",11,"Information BarLicensed operators of self-driving motor vehicle leasing company information","",1
0,202,"Directed",12,"Information Bar""Star Tourism Services Accreditation Scheme 'award-winning restaurants and eateries","",1
0,237,"Directed",13,"Information Bar""Star Tourism Services Accreditation Scheme 'award-winning travel agency","",1
0,300,"Directed",14,"Information BarMacao air operator","",1
0,346,"Directed",15,"Information BarMaintenance organizations","",1
0,350,"Directed",16,"Information BarMaintenance Training Organization","",1
1,11,"Directed",17,"The number of civil servants statisticsThe number of civil servants statistics - divided by mother tongue","",1
1,13,"Directed",18,"The number of civil servants statisticsDisease prevention and control of cancer death ten categories of cases","",1
1,18,"Directed",19,"The number of civil servants statisticsPersonnel rules and norms by private foundations and other public institutions the number of statistics","",1
1,29,"Directed",20,"The number of civil servants statisticsThe number of civil servants statistics - divided by place of birth","",1
1,30,"Directed",21,"The number of civil servants statisticsCertificate of Entitlement issued a number of statistics","",1
1,31,"Directed",22,"The number of civil servants statisticsThe number of civil servants statistics - divided by salary index points","",1
1,34,"Directed",23,"The number of civil servants statisticsMacau International Airport aircraft movements","",1
1,35,"Directed",24,"The number of civil servants statisticsPublic Service Training statistics - by training category","",1
1,38,"Directed",25,"The number of civil servants statisticsTen specialized health care category diagnosis and treatment of laboratory examinations trips","",1
1,45,"Directed",26,"The number of civil servants statisticsThe number of civil servants statistics - by oversight entities and other institutions division","",1
1,46,"Directed",27,"The number of civil servants statisticsNumber of Macao SAR travel documents issued statistics","",1
1,47,"Directed",28,"The number of civil servants statisticsThe number of civil servants statistics - divided by language knowledge","",1
1,54,"Directed",29,"The number of civil servants statisticsMacau International Airport passenger volume","",1
1,64,"Directed",30,"The number of civil servants statisticsChief Executive Election results statistics","",1
1,67,"Directed",31,"The number of civil servants statisticsCivil Aviation Authority of handling complaints and suggestions","",1
1,69,"Directed",32,"The number of civil servants statisticsCitizenship application statistics","",1
1,70,"Directed",33,"The number of civil servants statisticsThe number of civil servants statistics - divided by Qualification","",1
1,71,"Directed",34,"The number of civil servants statisticsNatural person voter registration statistics","",1
1,78,"Directed",35,"The number of civil servants statisticsCriminal record certificate issued quantity statistics","",1
1,82,"Directed",36,"The number of civil servants statisticsStatistics for the first time for identity cards Macao SAR","",1
1,85,"Directed",37,"The number of civil servants statisticsThe number of civil servants statistics - by age group and sex","",1
1,96,"Directed",38,"The number of civil servants statisticsGeneral Health Care Category (Health Center) divided by outpatient health centers","",1
1,99,"Directed",39,"The number of civil servants statisticsThe number of civil servants statistics - divided by employment law relationship","",1
1,106,"Directed",40,"The number of civil servants statisticsLegal voter registration statistics","",1
1,121,"Directed",41,"The number of civil servants statisticsMember Chief Executive Election Committee election results statistics","",1
1,126,"Directed",42,"The number of civil servants statisticsThe number of associations and consortia statistics","",1
1,132,"Directed",43,"The number of civil servants statisticsMacau International Airport cargo","",1
1,135,"Directed",44,"The number of civil servants statisticsHealth category according to the number of deaths divided by age group Statistics","",1
1,136,"Directed",45,"The number of civil servants statisticsBusiness charter flights and private aircraft movements","",1
1,145,"Directed",46,"The number of civil servants statisticsThe number of specialist human resources specialist department divided by category","",1
1,149,"Directed",47,"The number of civil servants statisticsThe number of inpatient specialized health care specialist divided by category","",1
1,154,"Directed",48,"The number of civil servants statisticsGeneral health care category (Other) Public Health Laboratory Overview","",1
1,156,"Directed",49,"The number of civil servants statisticsCivil Aviation Authority of the Legislative Council reply to a written question","",1
1,162,"Directed",50,"The number of civil servants statisticsHealth demographic category year-end","",1
1,171,"Directed",51,"The number of civil servants statisticsFinancial management agreement with the government category of private pharmacies","",1
1,178,"Directed",52,"The number of civil servants statisticsFinancial Management Category Medicaid","",1
