"Id","Label"
"Id","Label"
0,"Information Bar"
1,"The number of civil servants statistics"
5,"Macau Public Administration Magazine directory"
7,"Hotel / condo / apartment style hotel info"
8,"Travelers"
9,"Tour list"
10,"Restaurant Information"
11,"The number of civil servants statistics - divided by mother tongue"
12,"The average price per square meter of residential units"
13,"Disease prevention and control of cancer death ten categories of cases"
14,"Employed population median monthly employment earnings"
15,"Overall residential property prices index"
16,"The newly established company"
18,"Personnel rules and norms by private foundations and other public institutions the number of statistics"
20,"Recruitment of civil servants - the unified management of the opening test of comprehensive capacity assessment process data"
21,"The average length of stay travelers"
23,"Parish Land area"
24,"Travel News"
25,"Macao special and hazardous waste treatment station data"
26,"Macao SAR Resident Identity Card holders statistics"
27,"Kara OK is a type of site information"
28,"Exhibition activity"
29,"The number of civil servants statistics - divided by place of birth"
30,"Certificate of Entitlement issued a number of statistics"
31,"The number of civil servants statistics - divided by salary index points"
32,"Sports facilities"
33,"Ballroom information"
34,"Macau International Airport aircraft movements"
35,"Public Service Training statistics - by training category"
38,"Ten specialized health care category diagnosis and treatment of laboratory examinations trips"
39,"Specialized health care category by age group division of emergency care visits"
40,"Steam bath and massage parlor Information"
41,"Macao Incineration Center"
43,"The number of lots statistics"
44,"UAV application activity data"
45,"The number of civil servants statistics - by oversight entities and other institutions division"
46,"Number of Macao SAR travel documents issued statistics"
47,"The number of civil servants statistics - divided by language knowledge"
48,"Won wage workers instructions residential units"
49,"Human Resources category by place of education personnel to obtain the distribution division"
50,"Departure flight punctuality rate"
51,"The site is a health club type information"
52,"Applications for trademark registration"
54,"Macau International Airport passenger volume"
55,"Automatic water quality monitoring station data"
58,"The first set of the latest ""Gazette"""
60,"Public service jobs - a comprehensive assessment of the ability examination for a unified management system of data"
61,"The overall unemployment rate"
62,"Personnel Licensing Overview"
64,"Chief Executive Election results statistics"
65,"Year-end total population"
66,"Noise monitoring station data"
67,"Civil Aviation Authority of handling complaints and suggestions"
68,"Visitors per capita consumption"
69,"Citizenship application statistics"
70,"The number of civil servants statistics - divided by Qualification"
71,"Natural person voter registration statistics"
72,"The hotel offers rooms and apartments"
73,"Public welfare system merchant offers supplementary list"
74,"The average duration of the exhibition event / exhibition"
76,"Gross Domestic Product (expenditure) - current prices"
77,"The average daily wage of construction workers"
78,"Criminal record certificate issued quantity statistics"
79,"The second set of the latest ""Gazette"""
80,"Overnight visitors per capita consumption"
81,"Golden Week statistics - Travelers"
82,"Statistics for the first time for identity cards Macao SAR"
83,"The average occupancy rate of hotels and guest-houses"
84,"The average salary of full-time employees gambling"
85,"The number of civil servants statistics - by age group and sex"
86,"Offenses on aircraft"
88,"The total length of road traffic"
89,"Overnight visitors"
90,"Banking full-time employees"
91,"Construction waste landfills Data"
92,"Per capita GDP"
93,"Total import and export between China and Portuguese-speaking countries"
94,"The average length of stay of guests"
95,"CPI - inflation"
96,"General Health Care Category (Health Center) divided by outpatient health centers"
97,"Total visitor spending"
99,"The number of civil servants statistics - divided by employment law relationship"
100,"Species Data ecological reserves Cotai"
101,"Public interest groups fitness data"
102,"Land area"
103,"Sewage treatment plant data (road ring)"
104,"Travel information"
106,"Legal voter registration statistics"
107,"Use License issued residential units"
108,"Day visitors per capita consumption"
111,"Retail sales"
113,"Events Festivals table"
