id,dataset_name,url,Summary,Open Conditions,Data Classification,Data Format,Provide departments / entities,Department Phone Number,Department E-Mail,Update frequency,Basic Info API,Field Name,Field Types,Field Var Len,Field Description (T_Chinese),Field Description (S_Chinese),Field Description (English),Field Description (Portuguese),has_api,API name,Request Method,Return Format,API url,Interface Description,api_key,api_val,api_summary_en,has_url,url_labels,url_links,has_file,download_file_url
b4fa6540-4295-4bf6-81d3-3377dd013fa1,Information Bar,https://data.gov.mo/Detail?id=b4fa6540-4295-4bf6-81d3-3377dd013fa1,The entity has been licensed - Bar information,Completely open,Tourism and Gaming,XML,Tourism,(853)28315566,webmaster@macaotourism.gov.mo,daily,https://api.data.gov.mo/document/download/b4fa6540-4295-4bf6-81d3-3377dd013fa1?token=QjbrODY4uKpUEVbfAsUB7SbA0Bf9ybZC3&isNeedFile=0&lang=TC,"['com_name_cn', 'com_name_gb', 'com_name_en', 'com_name_pt', 'com_tel', 'com_fax', 'com_ads_cn', 'com_ads_gb', 'com_ads_en', 'com_ads_pt', 'website']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['繁體中文名稱', '簡體中文名稱', '英文名稱', '葡文名稱', '聯絡電話', '傳真號碼', '繁體中文地址', '簡體中文地址', '英文地址', '葡文地址', '網址']","['繁体中文名称', '简体中文名称', '英文名称', '葡文名称', '联络电话', '传真号码', '繁体中文地址', '简体中文地址', '英文地址', '葡文地址', '网址']","['Name in T.Chinese', 'Name in S.Chinese', 'Name in English', 'Name in Portguese', 'Contact number', 'Fax', 'Address in T.Chinese', 'Address in S.Chinese', 'Address in English', 'Address in Portuguese', 'Website']","['Nome em T.chinês', 'Nome em S.chinês', 'Nome em inglês', 'Nome em português', 'Telefone de contacto', 'Número do Fax', 'Endereço em T.chinês', 'Endereço em S.chinês', 'Endereço em inglês', 'Endereço em português', 'Website']",TRUE,['dst_bars_list'],['GET'],['XML'],['https://dst.apigateway.data.gov.mo/dst_bars'],['Licensed Entities - The Bar Licensed Entities - Bars Licensed Entities - The Bar Entidades Licenciadas - Bares'],['Authorization'],['APPCODE 09d43a591fba407fb862412970667de4'],['Required parameter call api'],FALSE,,,TRUE,https://api.data.gov.mo/datadir/downloadSingleFile?fileId=652&dataDirId=b4fa6540-4295-4bf6-81d3-3377dd013fa1&token=dM0znebJohuc0mMbEyKv4johbJNjM3tzF
06100e7b-a025-44c5-89f1-ff0da894fe02,The number of civil servants statistics,https://data.gov.mo/Detail?id=06100e7b-a025-44c5-89f1-ff0da894fe02,"Macao Special Administrative Region to provide annual public administration of human resources in the way civil servants quarter number. It does not include rules and norms by private foundations and public agencies (including the Macao Foundation, the Macao Trade and Investment Promotion Institute, Macau Monetary Authority, the University of Macau, Macao Polytechnic Institute and the Civil Aviation Authority) personnel.",Completely open,Administrative and Legal Affairs,CSV,Chief Civil Service Bureau,（853）88099171,dprtsp@safp.gov.mo,Quarterly,https://api.data.gov.mo/document/download/06100e7b-a025-44c5-89f1-ff0da894fe02?token=n1TPTtZ8rFenYtxxcpTk9XOWXImrpWRBE&isNeedFile=0&lang=TC,"['year', 'quarter', 'total']","['-', '-', '-']","['-', '-', '-']","['年份', '季度', '加總人數']","['年份', '季度', '加总人数']","['year', 'quarter', 'total']","['Ano', 'Trimestre', 'Total']",FALSE,,,,,,,,,FALSE,,,TRUE,https://api.data.gov.mo/datadir/downloadSingleFile?fileId=418&dataDirId=06100e7b-a025-44c5-89f1-ff0da894fe02&token=YFkGbxp6mxt1MITDty8y5xsov9ZdWBap
ac55c2f1-780a-4dc8-875f-851b2203b706,Parking Information,https://data.gov.mo/Detail?id=ac55c2f1-780a-4dc8-875f-851b2203b706,Parking Information,Completely open,Public transit,XML,Transport Bureau,88666363,info@dsat.gov.mo,10 seconds,https://api.data.gov.mo/document/download/ac55c2f1-780a-4dc8-875f-851b2203b706?token=zNW5sr6sumvHodIJVOyuC4ts5vee95fRa&isNeedFile=0&lang=TC,"['Title', 'CP_ID', 'NameC', 'LocationC', 'CarParkEntryC', 'ContactNo', 'NameP', 'LocationP', 'CarParkEntryP', 'height', 'X_coords', 'Y_coords', 'DSCC_X', 'DSCC_Y', 'Lcar_price_C', 'Hcar_price_C', 'moto_price_C', 'Lcar_price_p', 'Hcar_price_p', 'moto_price_p', 'Lcar_price_E', 'Hcar_price_E', 'moto_price_E', 'zone_C', 'zone_P', 'zone_E', 'subdistrict_C', 'subdistrict_P', 'subdistrict_E']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['標題', '停車場序號', '中文名稱', '中文位置', '中文出入口位置', '聯絡電話', '英文名稱', '英文位置', '英文出入口位置', '停車場高度限制', '座標橫軸', '座標縱軸', '座標橫軸', '座標縱軸', '中文輕型汽車的收費', '中文重型汽車的收費', '中文摩托車的收費', '葡文輕型汽車的收費', '葡文重型汽車的收費', '葡文摩托車的收費', '英文輕型汽車的收費', '英文重型汽車的收費', '英文摩托車的收費', '中文地區', '葡文地區', '英文地區', '中文堂區', '葡文堂區', '英文堂區']","['标题', '停车场序号', '中文名称', '中文位置', '中文出入口位置', '联络电话', '英文名称', '英文位置', '英文出入口位置', '停车场高度限制', '坐标横轴', '坐标纵轴', '坐标横轴', '坐标纵轴', '中文轻型汽车的收费', '中文重型汽车的收费', '中文摩托车的收费', '葡文轻型汽车的收费', '葡文重型汽车的收费', '葡文摩托车的收费', '英文轻型汽车的收费', '英文重型汽车的收费', '英文摩托车的收费', '中文地区', '葡文地区', '英文地区', '中文堂区', '葡文堂区', '英文堂区']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']",TRUE,['Parking Information'],['GET'],['XML'],['https://dsat.apigateway.data.gov.mo/car_park_detail'],['Parking Information'],[''],[''],[''],FALSE,,,FALSE,
e7b2e84d-3333-42f0-b676-64ce95306f0d,Bus Route Information,https://data.gov.mo/Detail?id=e7b2e84d-3333-42f0-b676-64ce95306f0d,"BUS_POLE.SHP ​​--- data bus stop
ROUTE_NETWORK.SHP --- data bus routes
BUS_ROUTE_SEQ --- bus routes associated with the site table",Completely open,Public transit,SHAPEFILEXLS,Transport Bureau,88666363,info@dsat.gov.mo,As needed,https://api.data.gov.mo/document/download/e7b2e84d-3333-42f0-b676-64ce95306f0d?token=Mgz47OXGyUCiyYZsSFHTkanwCZdgUKEF&isNeedFile=0&lang=TC,"['BUS_POLE.SHP', 'POLE_ID', 'P_ALIAS', 'P_NAME', 'P_NAME_POR', 'P_NAME_EN', 'SID', 'ALIAS', 'NAME', 'NAME_POR', 'NAME_EN', 'ROUTE_NOS', 'ROUTE_NETWORK.SHP', 'NETWORK_ID', 'ROUTE_NOS', 'BUS_ROUTE_SEQ', 'ROUTE_NO', 'ROUTE_ID', 'DIRECTION', 'SEQ', 'SID', 'POLE_ID', 'NETWORK_ID', 'COMPANY_NAME', 'COMPANY_NAME_POR', 'COMPANY_NAME_EN', 'NAME', 'NAME_POR', 'NAME_EN', 'REMARKS', 'REMARKS_POR', 'REMARKS_EN']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '站點序號', '站點別稱', '站點中文名稱', '站點葡文名稱', '站點英文名稱', '-', '別稱', '巴士站中文名稱', '巴士站葡文名稱', '巴士站英文名稱', '途經巴士路線', '-', '路段序號', '途經巴士路線', '-', '巴士路線編號', '路線序號', '方向 / 循環', '序號', '-', '站點序號', '路段序號', '巴士公司中文名稱', '巴士公司葡文名稱', '巴士公司英文名稱', '巴士路線名稱', '巴士路線葡文名稱', '巴士路線英文名稱', '備註中文名稱', '備註葡文名稱', '備註英文名稱']","['-', '站点序号', '站点别称', '站点中文名称', '站点葡文名称', '站点英文名称', '-', '别称', '巴士站中文名称', '巴士站葡文名称', '巴士站英文名称', '途经巴士路线', '-', '路段序号', '途经巴士路线', '-', '巴士路线编号', '路线序号', '方向 / 循环', '序号', '-', '站点序号', '路段序号', '巴士公司中文名称', '巴士公司葡文名称', '巴士公司英文名称', '巴士路线名称', '巴士路线葡文名称', '巴士路线英文名称', '备注中文名称', '备注葡文名称', '备注英文名称']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']",FALSE,,,,,,,,,FALSE,,,TRUE,https://api.data.gov.mo/datadir/downloadSingleFile?fileId=722&dataDirId=e7b2e84d-3333-42f0-b676-64ce95306f0d&token=UkyB2G8FB1oh3nXozWwt1yNMAIoa65JX
070f7d9b-f734-4269-841c-0859912a5b15,Real-time weather briefing,https://data.gov.mo/Detail?id=070f7d9b-f734-4269-841c-0859912a5b15,"Hourly weather the whole point of fact, including temperature, humidity, wind direction and speed and other information.",Completely open,city ​​environment,XML,Meteorological and Geophysical Bureau,(853) 8898 6223,meteo@smg.gov.mo,As needed,https://api.data.gov.mo/document/download/070f7d9b-f734-4269-841c-0859912a5b15?token=9UAAPldMW5y27PWhfGsz0H5TB2AfZaEN&isNeedFile=0&lang=TC,,,,,,,,FALSE,,,,,,,,,TRUE,"['Real-time weather briefing', 'Real-time weather briefing', 'Real-time weather briefing']","['http://xml.smg.gov.mo/e_actual_brief.xml', 'http://xml.smg.gov.mo/c_actual_brief.xml', 'http://xml.smg.gov.mo/p_actual_brief.xml']",FALSE,
da97701e-3e56-42b7-a6a7-528b95fa8277,Macau Public Administration Magazine directory,https://data.gov.mo/Detail?id=da97701e-3e56-42b7-a6a7-528b95fa8277,Macau Public Administration magazine articles since 1988 Basic information,Completely open,Administrative and Legal Affairs,CSV,Chief Civil Service Bureau,（853）28323623,info@safp.gov.mo,As needed,https://api.data.gov.mo/document/download/da97701e-3e56-42b7-a6a7-528b95fa8277?token=ocj5rwbsapL8md8exHUs2UcB7BhapQulB&isNeedFile=0&lang=TC,"['totalNumberOfIssues', 'volume', 'numberOfIssue', 'publicationDate', 'articleClassificationTC', 'articleClassificationPT', 'articleTC', 'articlePT', 'authorTC', 'authorPT', 'chineseLink', 'portugueseLink']","['number', 'number', 'number', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string']","['10', '10', '10', '7', '100', '200', '200', '500', '100', '200', '200', '200']","['總期數', '卷數', '期數', '出版日期', '繁體中文文章分類', '葡文文章分類', '繁體中文文章名稱', '葡文文章名稱', '繁體中文文章作者', '葡文文章作者', '繁體中文文章超連結', '葡文文章超連結']","['总期数', '卷数', '期数', '出版日期', '繁体中文文章分类', '葡文文章分类', '繁体中文文章名称', '葡文文章名称', '繁体中文文章作者', '葡文文章作者', '繁体中文文章超连结', '葡文文章超连结']","['total number of issues', 'number of volumes', 'number of issues', 'publication date', 'article classification TC', 'article classification PT', 'article TC', 'article PT', 'author TC', 'author PT', 'chinese link', 'portuguese link']","['Número total de questões', 'Volume', 'Número de questões', 'Data de publicação', 'Classificação de artigo em chinês tradicional', 'Classificação de artigo em portuguesa', 'Artigo em chinês tradicional', 'Artigo em portuguesa', 'Autor do artigo em chinês tradicional', 'Autor do artigo em portuguesa', 'Hiperlink do artigo em chinês tradicional', 'Hiperlink do artigo em portuguesa']",FALSE,,,,,,,,,FALSE,,,TRUE,https://api.data.gov.mo/datadir/downloadSingleFile?fileId=870&dataDirId=da97701e-3e56-42b7-a6a7-528b95fa8277&token=NRxA069zO16f1xASgE2ee5pTobbJfq847
ea50a770-cc35-47cc-a3ba-7f60092d4bc4,Parking spaces Information,https://data.gov.mo/Detail?id=ea50a770-cc35-47cc-a3ba-7f60092d4bc4,Parking spaces Information,Completely open,Public transit,XML,Transport Bureau,88666363,info@dsat.gov.mo,10 seconds,https://api.data.gov.mo/document/download/ea50a770-cc35-47cc-a3ba-7f60092d4bc4?token=P2do0mG9dndvlOgn1hh9pQnCX5Z7ZfIm&isNeedFile=0&lang=TC,"['Title', 'Car_park_info', 'ID', 'Name', 'CP_EName', 'CP_Pname', 'Car_CNT', 'MB_CNT', 'Time', 'Maintenance']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['標題', '停車場車位內容', '停車場序號', '中文名稱', '英文名稱', '葡文名稱', '汽車位車位數量', '摩托車車位數量', '最後更新時間', '暫停發佈訊息']","['标题', '停车场车位内容', '停车场序号', '中文名称', '英文名称', '葡文名称', '汽车位车位数量', '摩托车车位数量', '最后更新时间', '暂停发布讯息']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-']",TRUE,['Parking spaces Information'],['GET'],['XML'],['https://dsat.apigateway.data.gov.mo/car_park_maintance'],['Parking remaining'],['Authorization'],['APPCODE 09d43a591fba407fb862412970667de4'],['Required parameter call api'],FALSE,,,FALSE,
6dafc514-7fc6-4d4e-9468-8772ba1c3b44,Hotel / condo / apartment style hotel info,https://data.gov.mo/Detail?id=6dafc514-7fc6-4d4e-9468-8772ba1c3b44,The entity has been licensed - hotel / condo / apartment style hotel info,Completely open,Tourism and Gaming,XML,Tourism,(853)28315566,webmaster@macaotourism.gov.mo,daily,https://api.data.gov.mo/document/download/6dafc514-7fc6-4d4e-9468-8772ba1c3b44?token=Y3MQoKEkoPKwtsVDtII5HziRP0ZQMd2k&isNeedFile=0&lang=TC,"['id', 'hotelclass_id', 'classname_zh', 'classname_gb', 'classname_en', 'classname_pt', 'latitude', 'longitude', 'tel', 'fax', 'email', 'website', 'green_hotel', 'name_zh', 'address_zn', 'name_gb', 'address_gb', 'name_en', 'address_en', 'name_pt', 'address_pt']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']","['酒店序號', '分類號碼', '繁體中文分類名稱', '簡體中文分類名稱', '英文分類名稱', '葡文分類名稱', '緯度', '經度', '聯絡電話', '傳真號碼', '聯絡電郵', '網址', '是否獲得環保酒店獎', '繁體中文名稱', '繁體中文地址', '簡體中文名稱', '簡體中文地址', '英文名稱', '英文地址', '葡文名稱', '葡文地址']","['酒店序号', '分类号码', '繁体中文分类名称', '简体中文分类名称', '英文分类名称', '葡文分类名称', '纬度', '经度', '联络电话', '传真号码', '联络电邮', '网址', '是否获得环保酒店奖', '繁体中文名称', '繁体中文地址', '简体中文名称', '简体中文地址', '英文名称', '英文地址', '葡文名称', '葡文地址']","['Hotel id', 'Class id', 'Category name in T.Chinese', 'Category name in S.Chinese', 'Cateogory name in English', 'Category name in Portuguese', 'latitude', 'longitude', 'Contact number', 'Fax', '聯絡電郵', 'Website', 'Green Hotel Award', 'Name in T.Chinese', 'Address in T.Chinese', 'Name in S.Chinese', 'Address in S.Chinese', 'Name in English', 'Address in English', 'Name in Portuguese', 'Address in Portuguese']","['Número de série dos hotéis', 'Número de classificação', 'Nome de classificação em T.chinês', 'Nome de classificação em S.chinês', 'Nome de classificação em português', 'Nome de classificação em português', 'latitude', 'longitude', 'Telefone de contacto', 'Número do Fax', 'Endereço electrónico', 'Website', 'Hotéis premiados do prémio Hotel Verde', 'Nome em T.chinês', 'Endereço em T.chinês', 'Nome em S.chinês', 'Endereço em S.chinês', 'Nome em inglês', 'Endereço em inglês', 'Nome em português', 'Endereço em português']",TRUE,['dst_hotel_list'],['GET'],['XML'],['https://dst.apigateway.data.gov.mo/dst_hotel'],['Hotel / apartment / aparthotel Licensed Entities - - license of the entity has licensed Hotels / Guest houses / Apartment hotels Licensed Entities - The hotel / apartment / aparthotel Entidades Licenciadas - Hotéis / Pensões / Hotéis-apartamentos'],['Authorization'],['APPCODE 09d43a591fba407fb862412970667de4'],['Required parameter call api'],FALSE,,,TRUE,https://api.data.gov.mo/datadir/downloadSingleFile?fileId=661&dataDirId=6dafc514-7fc6-4d4e-9468-8772ba1c3b44&token=lSmdCShyWvqSu9ZqqnZ5DB7j6DnW9yzW
3546225a-2a34-4645-b01e-6752aed03993,Travelers,https://data.gov.mo/Detail?id=3546225a-2a34-4645-b01e-6752aed03993,"Visit any place outside the usual areas of activity, and those who stay less than one year; visit its purpose is not involved in any paid activity in the area.",Completely open,Tourism and Gaming,XLSX,Statistics and Census Service,(853) 8399 5311,info@dsec.gov.mo,per month,https://api.data.gov.mo/document/download/3546225a-2a34-4645-b01e-6752aed03993?token=QWlFxHnHYAYXo5kRGW7IpBvHhLXZspw3&isNeedFile=0&lang=TC,"['period', 'value']","['string', 'number']","['30', '20']","['年份', '人次']","['年份', '人次']","['Year', 'Number']","['Ano', 'No']",FALSE,,,,,,,,,FALSE,,,TRUE,https://api.data.gov.mo/datadir/downloadSingleFile?fileId=838&dataDirId=3546225a-2a34-4645-b01e-6752aed03993&token=JqA7gHafoXeLccsEv9MkSAusMo3dmOn2l
1c1f1003-f723-4595-b4d5-915d3375131b,Tour list,https://data.gov.mo/Detail?id=1c1f1003-f723-4595-b4d5-915d3375131b,Tour list,Completely open,Tourism and Gaming,XML,Tourism,(853)28315566,webmaster@macaotourism.gov.mo,daily,https://api.data.gov.mo/document/download/1c1f1003-f723-4595-b4d5-915d3375131b?token=zLrwOcBgxzAIMlKKBF0OqT6nDvKaip2S&isNeedFile=0&lang=TC,"['lic_num', 'com_name_cn', 'com_name_en', 'com_name_pt', 'com_typ/com_desc_cn', 'com_typ/com_desc_en', 'com_typ/com_desc_pt']","['-', '-', '-', '-', '-', '-', '-']","['-', '-', '-', '-', '-', '-', '-']","['導遊工作證編號', '繁體中文姓名', '英文姓名', '葡文姓名', '使用語言繁體中文名稱', '使用語言英文名稱', '使用語言葡文名稱']","['导游工作证编号', '繁体中文姓名', '英文姓名', '葡文姓名', '使用语言繁体中文名称', '使用语言英文名称', '使用语言葡文名称']","['License number', 'Name in T.Chinese', 'Name in English', 'Name in Portguese', 'Ue language in T.Chinese', 'Use language in English', 'Use language in Portuguese']","['No. de cartão de identificação de guia turístico', 'Nome em T.chines', 'Nome em ingles', 'Nome em portugues', 'Idioma(s) em T.chines', 'Idioma(s) em ingles', 'Idioma(s) em portugues']",FALSE,,,,,,,,,FALSE,,,TRUE,https://api.data.gov.mo/datadir/downloadSingleFile?fileId=827&dataDirId=1c1f1003-f723-4595-b4d5-915d3375131b&token=P5cBMjaHwiZbE7qqwVxdpRyXuuhiRt3X
