dataset_name,url
酒吧資料,https://data.gov.mo/Detail?id=b4fa6540-4295-4bf6-81d3-3377dd013fa1
公務人員數目統計,https://data.gov.mo/Detail?id=06100e7b-a025-44c5-89f1-ff0da894fe02
停車場資料,https://data.gov.mo/Detail?id=ac55c2f1-780a-4dc8-875f-851b2203b706
巴士路線資料,https://data.gov.mo/Detail?id=e7b2e84d-3333-42f0-b676-64ce95306f0d
實時天氣簡報,https://data.gov.mo/Detail?id=070f7d9b-f734-4269-841c-0859912a5b15
澳門公共行政雜誌目錄,https://data.gov.mo/Detail?id=da97701e-3e56-42b7-a6a7-528b95fa8277
停車場車位資訊,https://data.gov.mo/Detail?id=ea50a770-cc35-47cc-a3ba-7f60092d4bc4
酒店/公寓/公寓式酒店資料,https://data.gov.mo/Detail?id=6dafc514-7fc6-4d4e-9468-8772ba1c3b44
入境旅客,https://data.gov.mo/Detail?id=3546225a-2a34-4645-b01e-6752aed03993
導遊名單,https://data.gov.mo/Detail?id=1c1f1003-f723-4595-b4d5-915d3375131b
餐廳資料,https://data.gov.mo/Detail?id=8b759bf6-3458-4f8c-be22-2de3638f4ed6
公務人員數目統計—按母語劃分,https://data.gov.mo/Detail?id=be8e4cc1-18e0-492d-9f24-e185698d200c
住宅單位每平方米平均價格,https://data.gov.mo/Detail?id=fc579d6a-4605-43d0-b23c-a25d997f9e44
疾病預防控制範疇十大死亡癌症個案,https://data.gov.mo/Detail?id=420d8915-1599-4fee-9cba-50df76c482ee
就業人口月工作收入中位數,https://data.gov.mo/Detail?id=00d591b9-781c-4583-a440-896e9e89d9fc
整體住宅樓價指數,https://data.gov.mo/Detail?id=111c078e-729d-47af-b5f0-edd03444590e
新成立公司,https://data.gov.mo/Detail?id=094324ef-45cb-4d5f-9004-77e6d82c1042
實時天氣,https://data.gov.mo/Detail?id=712bf9fa-2ec1-4762-aa55-2cdaf23dd563
受私法制度規範的基金會及其他公共機構的人員數目統計,https://data.gov.mo/Detail?id=5666b930-8b8d-4022-bc09-bb27bd1aa205
在澳門以外地區升學的澳門學生人數統計─按課程程度劃分,https://data.gov.mo/Detail?id=7b5de9ad-e295-41f8-b0a6-38608d562eee
公務人員招聘－統一管理開考綜合能力評估程序的數據資料,https://data.gov.mo/Detail?id=2f17ecdf-4c81-4f6f-8384-4d52d428a125
旅客平均逗留時間,https://data.gov.mo/Detail?id=725a1e1b-1bfc-4f3b-93c4-d72227034447
熱帶氣旋警告,https://data.gov.mo/Detail?id=15044781-1752-4f98-b87e-508208d70408
堂區土地面積,https://data.gov.mo/Detail?id=2ef78656-709d-48c6-b03b-51030bd414ef
旅遊快訊,https://data.gov.mo/Detail?id=aae52fd8-3d52-47ae-9b0d-bc77ec6ac232
澳門特殊和危險廢物處理站數據,https://data.gov.mo/Detail?id=fc6a47e8-8b8a-4d48-b980-d861d1cecf77
澳門特區居民身份證持有人統計,https://data.gov.mo/Detail?id=0c3034c7-c756-4ef1-bc12-ce91bf934ef6
